t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi
  0.0000  -0.0000   0.0000  -0.0000   0.0000  -0.1697   0.0294  -0.0000   0.0511   0.0000   0.0000   0.0000 
  0.0000  -0.9768   0.7295  -0.7660   1.1956  -1.2144   1.1131  -1.0136   1.0473   0.0023  -0.0032   0.1191 
  0.0000  -1.5118   1.5118  -1.1591   1.4469  -1.1928   1.0768  -1.0292   1.0309   0.0036   0.0052   0.1828 
  0.0000  -2.0346   2.2170  -1.6941   1.9130  -1.0404   0.7955  -0.9513   0.9608   0.0050   0.0081   0.2552 
  0.0000  -2.2615   2.7398  -2.2129   2.1075  -1.0499   0.6959  -0.8431   1.0196   0.0047   0.0085   0.3027 
  0.0000  -2.6263   2.6790  -2.9465   2.1440  -1.0344   0.6466  -0.5600   1.1642  -0.0094   0.0027   0.3375 
  0.0000  -3.0154   3.0438  -3.0559   2.7033  -0.9210   0.7453  -0.6189   1.0153  -0.0041   0.0037   0.3837 
  0.0000  -3.4693   2.8816  -3.0883   2.9303  -0.7920   0.8232  -0.7418   0.9902  -0.0093   0.0042   0.4016 
  0.0000  -3.0316   3.0194  -3.3072   3.2140  -1.0404   0.8837  -0.7046   0.9088  -0.0013  -0.0059   0.4082 
  0.0000  -3.3356   3.2626  -3.6233   3.4531  -0.9400   0.8535  -0.5998   0.8431  -0.0030  -0.0060   0.4440 
  0.0000  -3.9273   3.3964  -3.5017   3.9638  -0.6812   0.8266  -0.7176   0.6154  -0.0009  -0.0018   0.4802 
  0.0000  -3.9314   3.3113  -3.5504   3.9151  -0.6700   0.9374  -0.7678   0.6379  -0.0032  -0.0028   0.4775 
  0.0000  -3.8462   4.0246  -3.8057   3.4936  -0.7773   0.5713  -0.6094   0.9478  -0.0017   0.0071   0.4925 
  0.0000  -3.2343   4.3691  -3.8584   3.5788  -1.1365   0.4129  -0.6448   0.9088   0.0107   0.0021   0.4883 
  0.0000  -3.5544   4.1381  -3.9192   3.9192  -1.0136   0.5055  -0.6180   0.7383   0.0073  -0.0018   0.5043 
  0.0000  -4.1218   3.4450  -4.0043   4.0529  -0.7470   0.9054  -0.5730   0.6907  -0.0079  -0.0061   0.5073 
  0.0000  -3.8341   3.8300  -3.9881   3.8300  -0.8889   0.7150  -0.5903   0.7981  -0.0020  -0.0019   0.5027 
  0.0000  -4.2110   3.7206  -3.7003   4.2191  -0.6353   0.7920  -0.7565   0.5843   0.0004   0.0002   0.5146 
  0.0000  -4.2597   3.7328  -3.7976   4.1462  -0.6197   0.7955  -0.6838   0.6137  -0.0022   0.0006   0.5174 
  0.0000  -3.6760   4.3164  -3.8827   3.7206  -0.9322   0.4648  -0.6102   0.8483   0.0060   0.0049   0.5064 
  0.0000  -3.4693   3.7206  -4.6082   3.8300  -1.0551   0.7470  -0.2510   0.8162  -0.0066  -0.0156   0.5074 
  0.0000  -3.6517   4.1867  -3.9800   3.9070  -0.9184   0.4977  -0.5193   0.7098   0.0058  -0.0006   0.5106 
  0.0000  -4.2799   3.7206  -3.8341   4.0367  -0.6431   0.7574  -0.6120   0.6440  -0.0045   0.0016   0.5153 
  0.0000  -3.6274   3.4531  -3.8949   4.2313  -0.9582   0.8768  -0.6102   0.5211   0.0020  -0.0131   0.4937 
  0.0000  -3.6963   3.3072  -3.5301   4.1097  -0.8742   0.9833  -0.7920   0.5401   0.0024  -0.0080   0.4754 
  0.0000  -3.9435   3.6720  -3.7571   3.9030  -0.7643   0.8067  -0.6431   0.6561  -0.0016  -0.0006   0.4960 
  0.0000  -3.6274   4.0165  -4.2353   3.7003  -0.9417   0.5877  -0.3220   0.7418  -0.0018  -0.0036   0.5058 
  0.0000  -3.5058   4.5596  -3.7976   3.8057  -1.0179   0.2856  -0.5522   0.6968   0.0133   0.0058   0.5087 
  0.0000  -3.4166   3.7003  -4.0165   3.9922  -1.0569   0.7245  -0.4380   0.5488   0.0032  -0.0111   0.4911 
  0.0000  -3.5625   3.7814  -3.8706   4.1097  -0.9668   0.6777  -0.5064   0.4596   0.0057  -0.0080   0.4975 
  0.0000  -3.4085   3.1654  -3.4896   4.2434  -1.1149   0.9997  -0.7236   0.3480   0.0064  -0.0145   0.4645 
  0.0000  -3.7692   3.1532  -3.2140   3.8057  -0.8855   1.0404  -0.8413   0.5808  -0.0003  -0.0012   0.4527 
  0.0000  -3.6152   3.3437  -3.5625   3.7733  -0.9790   0.9530  -0.6760   0.5860  -0.0008  -0.0047   0.4641 
  0.0000  -3.4774   3.9070  -4.1502   3.4693  -1.0837   0.6249  -0.3705   0.7868  -0.0031  -0.0029   0.4871 
  0.0000  -3.4774   3.9030  -3.9192   3.5544  -1.0612   0.6050  -0.4986   0.6890   0.0008  -0.0012   0.4823 
  0.0000  -3.5747   3.7571  -4.1016   3.7814  -1.0447   0.6743  -0.3575   0.5730  -0.0017  -0.0069   0.4940 
  0.0000  -4.0367   3.5544  -3.7206   3.6517  -0.7409   0.8058  -0.5055   0.6362  -0.0069   0.0027   0.4858 
  0.0000  -3.6233   3.1897  -3.5544   3.9435  -0.9712   1.0041  -0.6076   0.4311  -0.0006  -0.0086   0.4646 
  0.0000  -4.0043   3.4207  -3.4410   3.5990  -0.7539   0.9106  -0.6648   0.5938  -0.0053   0.0048   0.4696 
  0.0000  -3.9273   3.4166  -3.9759   3.5301  -0.7773   0.9140  -0.3869   0.6899  -0.0120  -0.0020   0.4821 
