t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi
  0.0000   0.5998  -0.6201   6.0105  -7.5061  -0.5704   0.5245   1.0923  -0.9088  -0.0189   0.1537  -0.4785 
  0.0000   0.6444  -0.9768   6.2659  -6.6874  -0.7435   0.6656   0.9461  -1.4048  -0.0094   0.1417  -0.4732 
  0.0000   0.3526  -0.9119   6.1402  -7.0764  -0.7271   0.4934   0.8586  -1.3312  -0.0187   0.1494  -0.4702 
  0.0000   0.1256  -1.1956   5.9740  -7.0157  -0.7150   0.5860   0.9002  -1.4109  -0.0264   0.1459  -0.4646 
  0.0000   0.0243  -1.3253   5.5444  -7.2629  -0.7262   0.5929   1.0240  -1.2888  -0.0377   0.1432  -0.4596 
  0.0000  -0.0365  -1.2321   5.5444  -7.2629  -0.7946   0.3306   0.8682  -1.4576  -0.0373   0.1451  -0.4546 
  0.0000  -0.0486  -1.4753   5.6174  -7.1048  -0.9071   0.3783   0.7496  -1.5978  -0.0376   0.1412  -0.4594 
  0.0000  -0.4296  -1.0335   5.8525  -8.1140  -0.8041   0.1030   0.5765  -1.1131  -0.0466   0.1670  -0.4731 
  0.0000  -0.4661  -1.6050   5.1675  -7.0035  -0.8041   0.0918   0.7098  -1.7684  -0.0488   0.1379  -0.4321 
  0.0000  -0.4782  -1.4996   4.9730  -7.2143  -0.7963  -0.0736   0.6907  -1.7441  -0.0527   0.1396  -0.4288 
  0.0000  -0.6931  -1.4469   5.2161  -7.7452  -0.7513  -0.2346   0.5332  -1.4412  -0.0584   0.1526  -0.4453 
  0.0000  -0.3891  -1.7428   4.6690  -7.8546  -1.0344  -0.3947   0.5903  -1.4671  -0.0665   0.1396  -0.4506 
  0.0000  -1.0578  -1.8279   5.0865  -7.2467  -0.6916  -0.5081   0.2363  -1.8575  -0.0631   0.1445  -0.4254 
  0.0000  -0.9605  -1.7752   4.4542  -7.0319  -0.7141  -0.6405   0.4813  -2.0471  -0.0664   0.1334  -0.3994 
  0.0000  -1.0578  -1.6050   4.1462  -8.3207  -0.7262  -0.3341   0.4518  -1.4715  -0.0855   0.1490  -0.4225 
  0.0000  -0.7052  -2.8330   4.2961  -7.9316  -0.9660  -0.2856   0.2649  -1.5996  -0.0897   0.1262  -0.4661 
  0.0000  -1.2280  -2.3223   3.7814  -7.7249  -0.6535  -1.0681   0.4163  -1.7450  -0.0937   0.1302  -0.4091 
  0.0000  -1.1672  -2.9668   3.4450  -7.8303  -0.7245  -0.1740   0.3497  -1.6567  -0.1065   0.1184  -0.4245 
  0.0000  -1.3902  -3.0883   3.3680  -8.1100  -0.5817  -0.2605   0.2605  -1.5026  -0.1153   0.1222  -0.4278 
  0.0000  -1.3780  -3.6477   3.0032  -8.0289  -0.4908  -0.1835   0.4406  -1.5684  -0.1256   0.1095  -0.4319 
  0.0000  -1.4955  -4.1745   2.6547  -8.1343  -0.3791  -0.1549   0.4008  -1.4299  -0.1394   0.1014  -0.4373 
  0.0000  -1.7752  -4.3529   2.2291  -8.7463  -0.2328  -0.1930   0.5704  -1.0880  -0.1581   0.1050  -0.4400 
  0.0000  -1.6901  -4.6731   2.1683  -8.5031  -0.2155  -0.1852   0.5332  -1.1720  -0.1587   0.0961  -0.4433 
  0.0000  -1.7792  -4.8919   2.2008  -8.2964  -0.0736  -0.2380   0.3306  -1.1564  -0.1596   0.0923  -0.4419 
  0.0000  -1.7792  -4.7541   1.5442  -9.3866  -0.0658  -0.3895   0.5912  -0.6163  -0.1797   0.0994  -0.4515 
  0.0000  -1.6333  -4.8635   1.7914  -8.5234  -0.0623  -0.4613   0.4077  -0.9028  -0.1654   0.0886  -0.4398 
  0.0000  -1.5118  -5.1554   1.4631  -8.4626  -0.0692  -0.5176   0.3878  -0.7331  -0.1708   0.0785  -0.4406 
  0.0000  -1.1227  -5.0621   1.2686  -9.0016  -0.2173  -0.6812   0.4778  -0.4743  -0.1740   0.0791  -0.4614 
  0.0000  -1.0497  -5.6052   1.6779  -8.2234  -0.2666  -0.5098   0.1627  -0.7297  -0.1650   0.0668  -0.4694 
  0.0000  -1.0092  -6.0065   1.4266  -7.3723  -0.0537  -0.4691   0.0883  -0.9746  -0.1620   0.0475  -0.4479 
  0.0000  -0.9524  -5.3539   1.0335  -8.1343   0.0848  -0.8950   0.2380  -0.6466  -0.1676   0.0596  -0.4406 
  0.0000  -0.8187  -5.9619   0.6687  -7.0157   0.1480  -0.6691   0.3497  -1.0975  -0.1641   0.0318  -0.4165 
  0.0000  -1.0821  -5.8281   0.5998  -6.8454   0.5367  -0.9253   0.2787  -1.0560  -0.1644   0.0337  -0.3958 
  0.0000  -0.8876  -5.9984  -0.0122  -7.4899   0.5782  -0.8664   0.5245  -0.5808  -0.1798   0.0296  -0.4087 
  0.0000  -0.5390  -5.8362   0.3040  -6.7482   0.4951  -1.0595   0.3583  -0.9132  -0.1602   0.0219  -0.4010 
  0.0000  -0.2432  -6.5901  -0.0243  -6.3956   0.4172  -0.8136   0.3618  -1.0093  -0.1657   0.0003  -0.4129 
  0.0000  -0.0243  -6.7401   0.0162  -6.3388   0.4570  -0.8535   0.3012  -0.9764  -0.1636  -0.0045  -0.4244 
  0.0000   0.0608  -6.7603  -0.2553  -6.6752   0.5453  -0.8950   0.4146  -0.6803  -0.1704  -0.0050  -0.4299 
  0.0000   0.1824  -7.0764  -0.5269  -5.9740   0.6500  -0.8950   0.4691  -0.9140  -0.1674  -0.0226  -0.4125 
  0.0000   0.2229  -7.0319  -0.6323  -5.8403   0.7184  -0.9253   0.5064  -0.9530  -0.1660  -0.0256  -0.4046 
  0.0000   0.4053  -7.2224  -0.4053  -5.7430   0.7669  -0.9158   0.3367  -0.9452  -0.1621  -0.0286  -0.4210 
  0.0000   0.6242  -7.5547  -0.1500  -5.7673   0.9452  -0.7903   0.1212  -0.6873  -0.1606  -0.0320  -0.4479 
  0.0000   0.7174  -7.1170  -0.3161  -6.3834   0.9712  -1.1348   0.1549  -0.3168  -0.1637  -0.0221  -0.4514 
  0.0000   0.9605  -7.4696  -0.2432  -5.8606   0.9426  -1.0179   0.0753  -0.4977  -0.1577  -0.0352  -0.4561 
  0.0000   1.3294  -7.4696  -0.3688  -5.4958   0.9530  -1.0266   0.0459  -0.5055  -0.1501  -0.0459  -0.4521 
  0.0000   1.5482  -7.5871  -0.3404  -4.8554   0.9201  -1.0577  -0.0000  -0.7193  -0.1404  -0.0578  -0.4432 
  0.0000   2.0913  -7.2710  -0.6687  -5.6052   0.6725  -1.2577   0.0381  -0.2190  -0.1432  -0.0553  -0.4642 
  0.0000   2.4115  -7.7452  -0.6444  -5.0338   0.7574  -1.1235  -0.0554  -0.2874  -0.1376  -0.0721  -0.4723 
  0.0000   1.9981  -8.3815  -0.4782  -4.8190   0.9521  -0.9149  -0.0147  -0.2709  -0.1460  -0.0755  -0.4779 
  0.0000   2.7033  -8.0978  -0.6242  -4.5393   0.8067  -1.0093  -0.0026  -0.3618  -0.1320  -0.0861  -0.4778 
  0.0000   2.7641  -8.0411  -0.5998  -4.1989   0.9149  -1.0144  -0.0173  -0.3367  -0.1259  -0.0901  -0.4677 
  0.0000   3.0438  -8.2356  -0.9524  -4.3529   0.9288  -0.9746  -0.0147  -0.1948  -0.1312  -0.0985  -0.4766 
  0.0000   2.8979  -8.0613  -0.9241  -3.9800   1.0811  -0.9478  -0.0069  -0.2311  -0.1258  -0.0988  -0.4550 
  0.0000   3.4815  -8.1018  -0.7579  -3.7449   1.0300  -0.9556  -0.0355  -0.1549  -0.1140  -0.1075  -0.4731 
  0.0000   3.9678  -7.8100  -0.7295  -3.6112   0.7530  -1.0880  -0.0727  -0.1705  -0.1023  -0.1112  -0.4760 
  0.0000   4.0854  -7.7736  -0.8065  -3.3234   0.7228  -1.1079  -0.0770  -0.2536  -0.0977  -0.1168  -0.4667 
  0.0000   3.9759  -7.7979  -0.6363  -3.2343   1.0058  -1.1391  -0.1852  -0.0632  -0.0962  -0.1147  -0.4666 
  0.0000   4.6204  -7.9559  -0.5390  -2.9465   0.8361  -1.0266  -0.2830  -0.0710  -0.0853  -0.1271  -0.4865 
  0.0000   4.1137  -8.4180  -0.5147  -2.8127   1.1296  -0.7479  -0.3229  -0.0848  -0.0954  -0.1279  -0.4815 
  0.0000   4.2110  -7.8668  -0.2918  -2.6425   1.2819  -1.0144  -0.4622  -0.5869  -0.0824  -0.1216  -0.4685 
  0.0000   4.9041  -7.1413  -0.6323  -1.7387   1.0698  -1.3373  -0.2813  -0.7574  -0.0576  -0.1367  -0.4270 
  0.0000   5.8849  -7.1859  -0.7174  -2.1197   0.5393  -1.3598  -0.2605  -0.0294  -0.0517  -0.1459  -0.4699 
  0.0000   5.2445  -7.4453  -0.2310  -1.6212   1.0508  -1.1841  -0.4458  -0.4960  -0.0507  -0.1412  -0.4571 
  0.0000   5.2932  -7.1048  -0.2189  -1.4347   1.0923  -1.3737  -0.4691  -0.4665  -0.0433  -0.1398  -0.4420 
  0.0000   5.5809  -7.4291  -0.2108  -1.3172   0.9738  -1.2049  -0.4960  -0.1887  -0.0422  -0.1488  -0.4583 
  0.0000   6.0065  -7.5142  -0.1378  -1.0213   0.9521  -1.0456  -0.4648  -0.0355  -0.0333  -0.1580  -0.4677 
  0.0000   6.1807  -7.1048  -0.2553  -1.1713   0.8136  -1.2378  -0.4034  -0.1714  -0.0294  -0.1546  -0.4611 
  0.0000   5.9497  -7.0521  -0.0770  -0.9889   1.0335  -1.2551  -0.4752  -0.1281  -0.0271  -0.1511  -0.4517 
  0.0000   6.0470  -7.2143   0.0122  -0.8430   1.1322  -1.0923  -0.4380   0.0234  -0.0250  -0.1551  -0.4583 
  0.0000   5.8281  -7.1899   0.0486  -0.7174   1.3641  -1.0240  -0.4380   0.0459  -0.0254  -0.1532  -0.4475 
  0.0000   7.1737  -6.5536  -0.0000  -0.7457   0.7271  -1.3165  -0.3480   0.1394  -0.0016  -0.1623  -0.4699 
  0.0000   6.5698  -6.9913   0.2229  -0.6931   1.1218  -0.9885  -0.3532   0.2657  -0.0111  -0.1581  -0.4700 
  0.0000   6.3510  -7.2143   0.3080  -0.3688   1.3269  -0.8335  -0.3601   0.1887  -0.0116  -0.1611  -0.4624 
  0.0000   6.4077  -6.9103   0.4175  -0.2959   1.3737  -0.8379  -0.3713   0.1523  -0.0048  -0.1576  -0.4556 
  0.0000   7.5304  -6.4604   0.2594  -0.1945   0.8812  -0.9478  -0.1523   0.2510   0.0142  -0.1692  -0.4690 
  0.0000   7.1656  -6.3753   0.5593  -0.1094   1.1027  -0.9132  -0.2458   0.2813   0.0155  -0.1609  -0.4614 
  0.0000   6.9305  -6.8252   0.7822   0.1500   1.2810  -0.6812  -0.2917   0.2069   0.0130  -0.1640  -0.4671 
  0.0000   7.0886  -6.2294   1.2078   0.0243   1.2914  -0.7470  -0.3038   0.3376   0.0261  -0.1517  -0.4708 
  0.0000   7.5425  -5.6944   1.0132   0.1378   1.1019  -0.9443  -0.1264   0.3852   0.0375  -0.1545  -0.4582 
  0.0000   7.2143  -5.8160   1.2564   0.0122   1.3512  -0.8162  -0.1636   0.5237   0.0333  -0.1473  -0.4635 
  0.0000   7.1291  -5.6336   1.2159   0.3323   1.5009  -0.7202   0.0874   0.4111   0.0380  -0.1485  -0.4431 
  0.0000   7.9154  -5.4350   1.1835   0.4499   1.0880  -0.7219   0.2138   0.4198   0.0514  -0.1577  -0.4573 
  0.0000   7.0075  -5.1716   1.3902   0.3323   1.6238  -0.7513   0.2199   0.5341   0.0445  -0.1390  -0.4298 
  0.0000   7.0886  -4.9405   1.4226   0.4499   1.7078  -0.7132   0.4743   0.5496   0.0503  -0.1382  -0.4221 
  0.0000   7.0886  -4.8311   1.4510   0.5147   1.7684  -0.6847   0.5895   0.5756   0.0528  -0.1373  -0.4174 
  0.0000   7.9519  -4.8879   1.5563   0.6606   1.2949  -0.5583   0.0727   0.5765   0.0660  -0.1493  -0.4460 
  0.0000   7.4574  -4.6001   2.5574   0.4620   1.6532  -0.5107   0.5574   0.7279   0.0735  -0.1245  -0.4595 
  0.0000   7.4088  -4.1989   1.8644   0.9241   1.7389  -0.6068   0.9279   0.4908   0.0750  -0.1333  -0.4074 
  0.0000   8.1464  -3.8827   2.2899   0.9727   1.3347  -0.7427   0.1662   0.5150   0.0941  -0.1339  -0.4333 
  0.0000   7.9803  -3.8462   2.6790   0.8065   1.4377  -0.5479   0.1627   0.6076   0.0952  -0.1244  -0.4448 
  0.0000   8.0370  -3.5058   3.4207   0.8430   1.4472  -0.6371   0.0320   0.6016   0.1099  -0.1121  -0.4585 
  0.0000   8.3085  -3.8706   3.7368   1.1470   1.2057  -0.3791   0.0736   0.4432   0.1165  -0.1199  -0.4795 
  0.0000   8.2923  -3.1410   4.0732   1.2929   1.2438  -0.5375   0.0952   0.3471   0.1315  -0.1082  -0.4615 
  0.0000   7.9681  -2.7479   4.2110   1.3739   1.4247  -0.6855   0.0502   0.2874   0.1351  -0.0985  -0.4400 
  0.0000   8.0127  -2.8857   4.2921   1.5118   1.3347  -0.5713   0.0840   0.1887   0.1366  -0.1015  -0.4441 
  0.0000   8.4788  -2.4723   4.3569   1.4388   1.0188  -0.5843   0.2043   0.1826   0.1475  -0.1004  -0.4503 
  0.0000   8.4423  -2.3142   4.6487   1.4388   1.0681  -0.5912   0.2043   0.1497   0.1527  -0.0943  -0.4535 
  0.0000   8.2559  -2.4966   4.8433   1.4753   1.0214  -0.4172   0.1662   0.0840   0.1510  -0.0923  -0.4585 
  0.0000   8.9043  -1.7630   5.0013   1.7022   0.6959  -0.6154   0.2328   0.0753   0.1731  -0.0921  -0.4535 
  0.0000   8.1707  -1.6577   5.0216   1.2321   0.9824  -0.6371   0.3488   0.1290   0.1596  -0.0755  -0.4421 
  0.0000   7.5182  -1.9008   5.3864   1.3375   1.2239  -0.3419   0.2796   0.2225   0.1543  -0.0671  -0.4373 
  0.0000   8.8800  -1.7063   4.9973   1.0011   0.4596  -0.3185   0.6899   0.1584   0.1647  -0.0824  -0.4735 
  0.0000   7.5912  -1.6212   5.3783   0.8916   1.0257  -0.2934   0.5825   0.0900   0.1530  -0.0591  -0.4448 
  0.0000   7.2224  -1.4834   5.6660   0.8876   1.1694  -0.2631   0.4934  -0.0225   0.1537  -0.0491  -0.4378 
  0.0000   8.2356  -0.6809   5.6295   0.9038   0.5090  -0.4726   0.6873  -0.2320   0.1761  -0.0524  -0.4429 
  0.0000   6.9832  -0.9281   5.7795   0.9524   1.1105  -0.3488   0.6414  -0.3376   0.1598  -0.0386  -0.4136 
  0.0000   6.9224  -0.3688   6.1281   0.8146   1.0984  -0.5695   0.6128  -0.3982   0.1687  -0.0247  -0.4092 
  0.0000   6.6266  -0.1945   6.4604   0.6120   1.1209  -0.5609   0.6241  -0.4207   0.1688  -0.0122  -0.4113 
  0.0000   7.5020   0.0405   6.3712   0.4864   0.6007  -0.6180   0.7158  -0.4657   0.1800  -0.0197  -0.4333 
  0.0000   6.0186   0.2229   7.0643   0.2067   1.3356  -0.7106   0.5116  -0.4025   0.1689   0.0133  -0.4108 
  0.0000   6.1200   0.1743   6.7117  -0.0041   1.1235  -0.5618   0.7288  -0.4717   0.1625   0.0096  -0.4111 
  0.0000   5.9376   0.1256   6.9427  -0.1216   1.1599  -0.5133   0.6829  -0.5055   0.1611   0.0157  -0.4181 
  0.0000   7.1899   0.1135   6.8495   0.0041   0.4527  -0.3809   0.7228  -0.7028   0.1770  -0.0029  -0.4520 
  0.0000   5.6944   0.3404   7.0886  -0.3648   1.0378  -0.4458   0.7513  -0.6587   0.1595   0.0262  -0.4158 
  0.0000   6.2861  -0.0405   7.2143  -0.4012   0.6786  -0.1896   0.7323  -0.7781   0.1632   0.0161  -0.4527 
  0.0000   5.6701   0.2229   7.5182  -0.7660   0.9123  -0.3168   0.6829  -0.6552   0.1581   0.0355  -0.4458 
  0.0000   6.4320   0.3769   7.6277  -0.8146   0.3116  -0.2051   0.7115  -0.8803   0.1703   0.0298  -0.4707 
  0.0000   5.4147   0.4985   7.5750  -1.1794   0.7522  -0.2978   0.7340  -0.7686   0.1539   0.0480  -0.4439 
  0.0000   5.5323   0.3526   7.5020  -1.1672   0.6492  -0.1532   0.7885  -0.8950   0.1527   0.0436  -0.4496 
  0.0000   5.1716   0.3769   7.6114  -1.3010   0.6353  -0.1160   0.8509  -1.0352   0.1482   0.0515  -0.4450 
  0.0000   4.9243   0.5755   8.1586  -1.4266   0.6371  -0.0164   0.6293  -1.1071   0.1529   0.0655  -0.4524 
  0.0000   5.4715   0.4539   7.4210  -1.8603   0.3047   0.0000   0.9573  -0.9305   0.1436   0.0533  -0.4642 
  0.0000   4.8149   0.6120   7.6479  -2.8087   0.4198   0.0035   0.9322  -0.5851   0.1283   0.0782  -0.4760 
  0.0000   4.7420   0.5147   7.8425  -2.4926   0.3488   0.0692   0.9210  -0.9166   0.1326   0.0763  -0.4728 
  0.0000   4.3164   0.5998   7.8060  -2.8371   0.4622   0.0476   0.8889  -0.8716   0.1236   0.0866  -0.4662 
  0.0000   3.9922   0.4377   8.1018  -3.0802   0.4060   0.0805   0.7375  -0.8950   0.1181   0.0953  -0.4785 
  0.0000   4.3893   0.8065   7.9559  -3.5058   0.1541   0.0892   0.8353  -0.7271   0.1206   0.0985  -0.4885 
  0.0000   4.0367   0.6201   7.9033  -3.0640   0.1757   0.0615   0.8500  -1.0733   0.1187   0.0944  -0.4670 
  0.0000   3.4653   0.5269   8.0856  -3.3923   0.2450   0.0926   0.7453  -1.0880   0.1086   0.1067  -0.4681 
  0.0000   3.5788   0.3526   7.9438  -3.9922   0.1342   0.2432   0.8405  -0.9919   0.0985   0.1089  -0.4923 
  0.0000   2.9587   0.7174   8.0248  -4.3042   0.4250   0.1411   0.7833  -0.8543   0.0925   0.1261  -0.4731 
  0.0000   3.1127   0.4175   7.5506  -4.3204   0.0900   0.3055   0.9885  -0.9270   0.0845   0.1147  -0.4729 
  0.0000   2.9465   0.3283   8.0289  -4.5109   0.0718   0.3791   0.7911  -0.9236   0.0849   0.1240  -0.4921 
  0.0000   2.9343   0.3688   8.4666  -4.2678   0.0623   0.4034   0.5877  -1.0941   0.0938   0.1271  -0.4967 
  0.0000   2.2291   0.3526   7.7209  -4.5758   0.7738   0.4622   0.8353  -1.2023   0.0716   0.1303  -0.4602 
  0.0000   1.6171   0.2594   7.4899  -4.8271   0.5912   0.5029   0.9452  -1.1114   0.0567   0.1370  -0.4440 
  0.0000   1.8887   0.0648   7.2953  -5.9822   0.0943   0.6284   1.0716  -0.5687   0.0408   0.1432  -0.4903 
  0.0000   1.5563   0.1500   7.4453  -5.5363   0.2320   0.5652   0.9539  -0.9383   0.0452   0.1447  -0.4671 
  0.0000   1.3902   0.0284   7.1413  -5.4391   0.3852   0.6622   1.0525  -1.0508   0.0390   0.1402  -0.4527 
  0.0000   1.1065   0.0608   7.3075  -5.3742   0.3843   0.6596   0.9417  -1.1651   0.0388   0.1455  -0.4457 
  0.0000   0.8633   0.2472   7.7452  -5.8606   0.1645   0.5176   0.7245  -1.0439   0.0374   0.1624  -0.4617 
  0.0000   1.2564  -0.0892   6.7482  -6.0105   0.0035   0.6821   1.1780  -0.9807   0.0238   0.1427  -0.4579 
  0.0000   0.9768   0.1743   7.2143  -6.2172   0.0095   0.5150   0.9132  -1.0110   0.0269   0.1579  -0.4621 
  0.0000   1.0578  -0.2675   7.1737  -6.1524  -0.2354   0.6561   0.7297  -1.1728   0.0226   0.1500  -0.4757 
  0.0000   0.3891   0.0608   7.1008  -6.0592  -0.0121   0.4527   0.7037  -1.3408   0.0186   0.1604  -0.4379 
  0.0000   0.8309  -0.0365   6.6914  -7.1251  -0.2553   0.4380   0.9296  -0.8474   0.0045   0.1619  -0.4767 
  0.0000   0.7944  -0.4499   6.8090  -6.4685  -0.3878   0.5081   0.7427  -1.2810   0.0086   0.1504  -0.4715 
  0.0000   0.5107  -0.3769   6.9549  -6.3591  -0.3566   0.4821   0.5920  -1.4230   0.0091   0.1553  -0.4611 
  0.0000   0.4175  -0.7457   6.6793  -6.2010  -0.3471   0.6474   0.6795  -1.6117   0.0019   0.1465  -0.4560 
  0.0000   0.1621  -0.4864   6.2496  -7.8789  -0.3947   0.3462   0.7799  -0.8569  -0.0244   0.1685  -0.4798 
  0.0000   0.4296  -1.1308   6.1767  -6.8130  -0.5496   0.6327   0.7617  -1.4464  -0.0167   0.1429  -0.4724 
  0.0000   0.0486  -1.0457   5.9376  -6.8576  -0.4293   0.5245   0.7305  -1.5052  -0.0240   0.1463  -0.4510 
  0.0000  -0.0243  -1.3739   5.8038  -6.6185  -0.5124   0.4795   0.6907  -1.7476  -0.0277   0.1384  -0.4471 
  0.0000  -0.0486  -0.9524   5.4472  -8.0046  -0.5669   0.1861   0.8309  -1.1460  -0.0445   0.1568  -0.4661 
  0.0000  -0.0608  -1.3983   5.5444  -6.9468  -0.6466   0.3306   0.6916  -1.6861  -0.0358   0.1394  -0.4490 
  0.0000   0.0122  -1.1429   5.2202  -7.2345  -0.8058  -0.0424   0.6821  -1.6446  -0.0393   0.1412  -0.4419 
  0.0000  -0.4256  -0.9889   5.5809  -7.5506  -0.6933  -0.1549   0.3315  -1.4870  -0.0423   0.1571  -0.4446 
  0.0000  -0.5147  -1.4955   4.7460  -7.4777  -0.6942  -0.1497   0.6751  -1.6013  -0.0593   0.1405  -0.4287 
  0.0000  -0.5147  -1.5118   4.9162  -7.3075  -0.7600  -0.4120   0.4259  -1.7891  -0.0552   0.1403  -0.4292 
  0.0000  -0.6728  -1.5077   5.0946  -7.4534  -0.7427  -0.5505   0.3133  -1.7658  -0.0567   0.1464  -0.4345 
  0.0000  -1.1429  -1.3415   4.4623  -8.5639  -0.4813  -0.1965   0.4657  -1.1832  -0.0823   0.1603  -0.4294 
  0.0000  -0.7660  -2.4196   4.7420  -7.7249  -0.7184  -0.5946   0.1662  -1.6558  -0.0771   0.1352  -0.4585 
  0.0000  -1.5725  -2.4480   4.1016  -7.5750  -0.2960  -0.1800   0.3549  -1.7519  -0.0937   0.1350  -0.4075 
  0.0000  -1.1470  -2.7357   4.0124  -8.4747  -0.4951  -0.0926   0.3886  -1.2490  -0.1043   0.1362  -0.4570 
