t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi
  0.0000   0.0041   0.0000   0.0041   0.0000   0.0164   0.1013   0.0069   0.2337   0.0001   0.0000  -0.0003 
  0.0000   1.3172  -0.2959   2.4439  -0.0608   2.2029   0.1272   1.5459   0.0874   0.0426   0.0111  -0.1337 
  0.0000   2.4804   0.0892   2.5777   0.0041   1.8982   0.0381   1.7857   0.0615   0.0644   0.0023  -0.1612 
  0.0000   3.8827   0.2837   3.5666  -0.0041   1.4230  -0.0372   1.6152   0.0052   0.0966  -0.0004  -0.2328 
  0.0000   4.3893   0.3931   4.3812  -0.2067   1.0776  -0.0346   1.5433  -0.0164   0.1120   0.0074  -0.2787 
  0.0000   4.9000   0.3931   5.3418  -0.2229   1.1348  -0.0277   1.3079  -0.0857   0.1302   0.0132  -0.3270 
  0.0000   5.2891   0.3648   5.6214  -0.0892   1.0681  -0.0061   1.4204  -0.2562   0.1398   0.0098  -0.3453 
  0.0000   5.5809   0.4175   6.3753  -0.3283   0.8119   0.0666   1.3217  -0.3618   0.1506   0.0193  -0.3853 
  0.0000   5.6214   0.4175   6.9427  -0.5958   0.8318   0.1030   1.1728  -0.3445   0.1548   0.0292  -0.4137 
  0.0000   6.5941   0.6687   7.1372  -0.7336   0.3402  -0.0078   1.2248  -0.3783   0.1708   0.0243  -0.4479 
  0.0000   5.7187   0.6809   7.3966  -0.9038   0.5895   0.0441   1.2421  -0.5462   0.1612   0.0408  -0.4331 
  0.0000   5.8119   0.6323   7.6763  -1.2321   0.5592   0.0597   1.2308  -0.4596   0.1611   0.0466  -0.4574 
  0.0000   5.5242   0.6849   7.9803  -1.4834   0.6353   0.0987   1.1304  -0.4492   0.1588   0.0578  -0.4644 
  0.0000   5.9578   0.8268   8.3693  -1.5685   0.3081   0.0753   0.9461  -0.6301   0.1698   0.0601  -0.4892 
  0.0000   5.7511   0.9889   8.2721  -2.1521   0.2086   0.0000   1.1226  -0.4466   0.1608   0.0708  -0.4931 
  0.0000   5.2324   0.7701   8.7057  -2.3993   0.4198   0.0242   0.8907  -0.3834   0.1539   0.0830  -0.5054 
  0.0000   4.8514   0.8876   8.9124  -2.4682   0.4276   0.0866   0.8007  -0.5626   0.1523   0.0927  -0.4982 
  0.0000   4.5271   0.8673   8.9246  -2.6020   0.5462   0.1065   0.7894  -0.6172   0.1465   0.0983  -0.4931 
  0.0000   4.6974   1.0254   8.7341  -2.9546   0.3540   0.0537   0.8517  -0.4986   0.1438   0.1002  -0.4987 
  0.0000   4.3448   0.8633   8.9286  -3.1410   0.2424   0.1420   0.7539  -0.6050   0.1374   0.1074  -0.5049 
  0.0000   4.0408   0.8309   8.1343  -3.5504   0.3826   0.1792   1.1573  -0.4890   0.1182   0.1059  -0.4836 
  0.0000   3.9557   0.7903   8.4139  -3.6760   0.2761   0.1731   1.0248  -0.5211   0.1185   0.1116  -0.4953 
  0.0000   3.5990   0.6566   8.6612  -3.5990   0.2372   0.0563   0.7634  -0.7695   0.1165   0.1165  -0.4936 
  0.0000   3.5058   0.6566   8.2559  -3.6963   0.1965   0.0381   1.0162  -0.8128   0.1090   0.1138  -0.4806 
  0.0000   3.3680   0.4904   8.5152  -3.8422   0.1437   0.1973   0.8725  -0.8448   0.1066   0.1185  -0.4946 
  0.0000   3.2140   0.3040   8.4261  -3.9435   0.0615   0.2709   0.7210  -1.0283   0.1000   0.1182  -0.4961 
  0.0000   2.9587   0.1621   8.2721  -3.8827   0.0623   0.4657   0.8967  -1.1365   0.0939   0.1170  -0.4854 
  0.0000   2.8938   0.3526   7.8060  -5.0216   0.7496   0.3523   1.0802  -0.5895   0.0754   0.1286  -0.4990 
  0.0000   2.0589   0.4134   7.8222  -4.7825   0.7037   0.3731   0.9720  -0.9668   0.0689   0.1370  -0.4627 
  0.0000   1.5482   0.0162   6.8819  -4.6933   0.5739   0.5765   1.3641  -1.0577   0.0469   0.1255  -0.4256 
  0.0000   1.9252  -0.0770   7.2588  -4.9608   0.3679   0.6968   1.2698  -1.0612   0.0518   0.1277  -0.4617 
  0.0000   1.5604   0.0162   7.2588  -5.2080   0.2709   0.5791   1.2326  -1.1166   0.0453   0.1365  -0.4549 
  0.0000   1.2807   0.0770   6.9468  -6.2172   0.2701   0.5791   1.2153  -0.6847   0.0261   0.1495  -0.4665 
  0.0000   1.2402  -0.0284   7.0643  -5.8849   0.1506   0.6267   1.2404  -0.8777   0.0299   0.1460  -0.4616 
  0.0000   1.2767  -0.4134   6.9103  -5.7430  -0.1143   0.7245   1.2456  -1.1313   0.0254   0.1370  -0.4657 
  0.0000   0.9484  -0.1013   7.3358  -5.7673  -0.0641   0.5886   1.0075  -1.2256   0.0302   0.1507  -0.4595 
  0.0000   0.8916  -0.2594   7.3237  -5.8727  -0.1446   0.6847   0.9262  -1.2360   0.0260   0.1506  -0.4658 
  0.0000   1.0335  -0.1945   6.6509  -7.0440  -0.4111   0.5375   1.0941  -0.8621   0.0056   0.1558  -0.4845 
  0.0000   0.9970  -0.4864   6.9589  -6.2010  -0.4856   0.6890   0.9331  -1.2672   0.0159   0.1460  -0.4754 
  0.0000   0.8876  -0.6323   6.9305  -6.2780  -0.5418   0.6951   0.8439  -1.3486   0.0113   0.1461  -0.4782 
  0.0000   0.5715  -0.5958   6.7238  -6.2740  -0.5098   0.5721   0.8292  -1.5035   0.0053   0.1479  -0.4599 
