t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi 
  0.0000  -9.9743   3.4653  -1.6212  -5.1472  -1.3719   0.6717  -0.0199  -1.0439  -0.1660   0.2121   0.3219 
  0.0000 -10.3391   3.0924  -1.8036  -5.4634  -1.2412   0.7089  -0.4276  -0.7401  -0.1814   0.2136   0.3173 
  0.0000 -10.1283   2.2778  -2.5331  -5.2891  -1.3295   0.7903  -0.0589  -0.8084  -0.1959   0.1895   0.3133 
  0.0000 -10.5823   2.2170  -2.9424  -5.2648  -1.0828   0.6561  -0.1350  -0.7167  -0.2072   0.1890   0.3402 
  0.0000 -10.3837   1.4469  -3.4045  -5.5688  -1.0759   0.7842  -0.1567  -0.5946  -0.2239   0.1749   0.3138 
  0.0000 -10.2904   1.3132  -4.0529  -5.2688  -1.0525   0.6137  -0.1333  -0.6180  -0.2287   0.1602   0.3373 
  0.0000 -10.4445   0.7782  -4.3934  -4.9284  -0.8881   0.6379  -0.1999  -0.7080  -0.2374   0.1470   0.3470 
  0.0000 -10.7768   0.6201  -5.3296  -4.8190  -0.6024   0.6050  -0.0502  -0.6518  -0.2538   0.1361   0.3866 
  0.0000 -10.2985   0.0122  -5.1310  -4.7582  -0.6812   0.6275  -0.3090  -0.5765  -0.2522   0.1242   0.3469 
  0.0000 -10.2256  -0.0892  -5.7390  -4.5758  -0.6570   0.4691  -0.2173  -0.4172  -0.2579   0.1122   0.3669 
  0.0000  -9.7798  -0.6201  -5.6782  -4.0894  -0.6899   0.5237  -0.4882  -0.6570  -0.2521   0.0946   0.3490 
  0.0000  -9.7798  -0.6566  -6.4928  -4.2434  -0.5367   0.3306  -0.2649  -0.4735  -0.2647   0.0859   0.3692 
  0.0000  -9.3745  -0.9160  -6.3753  -4.1381  -0.5479   0.1489  -0.5998  -0.3583  -0.2600   0.0778   0.3473 
  0.0000  -9.1961  -0.9160  -6.5171  -4.0529  -0.4683  -0.1870  -0.7721  -0.2181  -0.2585   0.0727   0.3488 
  0.0000  -9.4474  -1.3415  -7.0764  -3.9759  -0.2103  -0.0943  -0.7418  -0.1194  -0.2730   0.0626   0.3638 
  0.0000  -8.7827  -1.6050  -6.9589  -3.7328  -0.3289  -0.0883  -1.0093  -0.0260  -0.2635   0.0494   0.3378 
  0.0000  -8.8071  -2.1197  -7.1980  -2.2615  -0.1705  -0.0848  -1.1417  -0.3540  -0.2548   0.0219   0.3774 
  0.0000  -8.0411  -2.2615  -8.3207  -3.2221  -0.3471  -0.1229  -0.7132  -0.2848  -0.2731   0.0085   0.3532 
  0.0000  -7.6884  -2.4804  -7.9033  -1.9211  -0.2978  -0.2302  -1.1131  -0.4761  -0.2499  -0.0097   0.3633 
  0.0000  -7.4047  -3.0276  -8.0127  -1.7549  -0.2822  -0.1809  -1.2655  -0.6743  -0.2525  -0.0235   0.3453 
  0.0000  -6.6144  -3.5139  -8.5112  -1.3618  -0.4787  -0.1229  -1.0863  -0.4570  -0.2500  -0.0506   0.3328 
  0.0000  -6.7238  -3.4774  -8.4626  -1.2199  -0.2389  -0.2527  -1.3399  -0.3229  -0.2485  -0.0500   0.3406 
  0.0000  -6.6630  -3.8665  -9.7271  -1.3010  -0.1169  -0.2276  -0.8517   0.0199  -0.2695  -0.0704   0.3644 
  0.0000  -6.2618  -3.9881  -9.2448  -1.0821  -0.1212  -0.2562  -1.2092   0.2095  -0.2572  -0.0736   0.3388 
  0.0000  -5.8727  -4.0165  -9.8770  -0.9646  -0.1039  -0.3895  -0.9746   0.4605  -0.2591  -0.0882   0.3496 
  0.0000  -4.6690  -4.3042  -9.4109  -0.7579  -1.8904  -0.3445  -1.3563   0.5531  -0.2393  -0.1036   0.2928 
  0.0000  -5.1554  -4.4380  -8.9975  -0.1216  -1.3200  -0.3428  -1.6100   0.4579  -0.2339  -0.1020   0.3115 
  0.0000  -5.0338  -4.1137  -8.7827   0.0608  -1.0205  -0.5929  -1.9224   0.6033  -0.2234  -0.0990   0.3170 
  0.0000  -4.2313  -4.2556  -8.8881   0.3404  -1.0603  -0.6033  -2.0427   0.7132  -0.2129  -0.1157   0.2988 
  0.0000  -2.4115  -4.4866  -9.0502   0.4782  -1.0162  -0.5955  -2.0315   0.8846  -0.1934  -0.1450   0.2420 
  0.0000  -2.5696  -4.8919  -8.9651   1.4347  -1.2360  -0.4700  -2.2211   0.6691  -0.1874  -0.1590   0.2623 
  0.0000  -2.1440  -4.7703  -9.9135   1.5604  -0.5012  -0.5488  -1.8497   0.9530  -0.1908  -0.1763   0.2873 
  0.0000  -2.3102  -4.3691  -9.0705   1.8765  -0.8067  -0.7444  -2.3595   1.0421  -0.1734  -0.1626   0.2886 
  0.0000  -1.8644  -4.4137  -9.3785   2.2534  -0.8214  -0.7548  -2.2107   1.1149  -0.1675  -0.1773   0.2949 
